Agency,Parent Agency*,Agency Acronym,Naming Convention,Electronic Reading Room URL,Notes,,
Center for Food Safety and Applied Nutrition ,FDA,CFSAN,FOIA Electronic Reading Room,https://www.fda.gov/AboutFDA/CentersOffices/OfficeofFoods/CFSAN/CFSANFOIAElectronicReadingRoom/default.htm,,,
Center for Tobacco Products,FDA,CTP,FOIA Electronic Reading Room,https://www.fda.gov/tobaccoproducts/aboutctp/ucm221165.htm,,,
Center for Veterinary Medicine,FDA,CVM,FOIA Electronic Reading Room,https://www.fda.gov/AboutFDA/CentersOffices/OfficeofFoods/CVM/CVMFOIAElectronicReadingRoom/default.htm,,,
Civil Rights Division,DOJ,CRT,FOIA Electronic Reading Room,https://www.justice.gov/crt/foia-electronic-reading-room,,,
Consumer Financial Protection Bureau,Independent,CFPB,FOIA Electronic Reading Room,https://www.consumerfinance.gov/foia-requests/foia-electronic-reading-room/,,,
Court Services and Offender Supervision Agency,D.C. based agency,CSOSA,FOIA Electronic Reading Room,https://www.csosa.gov/foia-electronic-reading-room/,,,
Defense Commissary Agency,Defense,,FOIA Electronic Reading Room,https://www.commissaries.com/our-agency/FOIA/FOIA-Electronic-Reading-Room,,,
Defense Intelligence Agency,Defense,DIA,FOIA Electronic Reading Room,http://www.dia.mil/FOIA/FOIA-Electronic-Reading-Room/,,,
Department of Justice,DOJ,DOJ,FOIA Electronic Reading Room,https://www.justice.gov/crt/foia-electronic-reading-room,,,
Department of Transportation,,DOT,FOIA Electronic Reading Room,https://www.transportation.gov/foia/foia-electronic-reading-room-category-one,,,
Federal Communications Commission,BCC,FCC,FOIA Electronic Reading Room,https://www.fcc.gov/general/freedom-information-act-electronic-reading-room#block-menu-block-4,,,
Federal Highway Administration,Transportation,FHWA,FOIA Electronic Reading Room,https://www.fhwa.dot.gov/foia/err.cfm,,,
Federal Motor Carrier Safety Administration,Transportation,FMCSA,FOIA Electronic Reading Room,https://www.fhwa.dot.gov/foia/err.cfm,,,
Federal Transit Administration,Transportation,FTA,FOIA Electronic Reading Room,https://www.transit.dot.gov/foia/foia-electronic-reading-room,,,
Food Safety and Inspection Service,Agriculture,FSIS,FOIA Electronic Reading Room,https://www.fsis.usda.gov/wps/portal/footer/policies-and-links/freedom-of-information-act/fsis-electronic-reading-room,,,
Geological Survey,Interior,USGS,FOIA Electronic Reading Room,https://www2.usgs.gov/foia/,,,
U.S. International Trade Commission,BCC,USITC,FOIA Electronic Reading Room,https://www.usitc.gov/secretary/foia/foia_ereadingroom.htm,,,
National Technical Information Service,Commerce,NTIS,FOIA Electronic Reading Room,https://classic.ntis.gov/about/foia/,New website coming,,
Office of Regulatory Affairs,FDA,ORA,FOIA Electronic Reading Room,https://www.fda.gov/aboutfda/centersoffices/officeofglobalregulatoryoperationsandpolicy/ora/oraelectronicreadingroom/default.htm,,,
Office of the Inspector General,Transportation,OIG,FOIA Electronic Reading Room,https://www.oig.dot.gov/foia-electronic-reading-room,,,
Transportation Security Administration,Homeland Security,,FOIA Electronic Reading Room,https://www.tsa.gov/foia/readingroom,,,
Equal Employment Opportunity Commission,,EEOC,FOIA E-Library,https://www.eeoc.gov/eeoc/foia/e-library.cfm,,,
Department of the Interior - Bureau & Office FOIA Libraries,Interior,DOI,FOIA Libraries,https://www.doi.gov/foia/libraries,Lists agency FOIA Libraries,,
